Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,106A-2,2-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,106A-2-DI,2-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,106A-2-GY,2-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,106A-2-WH,2-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,106A-4,4-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,106A-4-DI,4-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,106A-4-WH,4-Port 106 Type Keystone, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,110-1PRP,Category 5e 1-Pair 110 Field, $1.30 , $0.60 ,54%, $0.71 ,46%, $0.71 ,US,1 Year
Signamax,110-2PRP,Category 5e 2-Pair 110 Field, $1.50 , $0.70 ,54%, $0.82 ,46%, $0.82 ,US,1 Year
Signamax,110-3PRP,Category 5e 3-Pair 110 Field, $2.00 , $0.93 ,54%, $1.09 ,46%, $1.10 ,US,1 Year
Signamax,110-45-10,110 to RJ45 4 pair Cat5 cable, $15.10 , $7.02 ,54%, $8.21 ,46%, $8.27 ,US,1 Year
Signamax,110-45-20,110 to RJ45 4 pair CAT5 cable, $18.10 , $8.42 ,54%, $9.84 ,46%, $9.92 ,US,1 Year
Signamax,110-4PRH,4-pair replacement head with, $29.00 , $13.49 ,54%, $15.77 ,46%, $15.89 ,US,1 Year
Signamax,110-4PRP,Category 5e 4-Pair 110 Field, $3.00 , $1.40 ,54%, $1.63 ,46%, $1.64 ,US,1 Year
Signamax,110-4PRT,4-pair 110 impact tool for 110, $98.00 , $45.57 ,54%, $53.30 ,46%, $53.70 ,US,1 Year
Signamax,110-5PRT,5-Pair Term. Tool for, $98.00 , $45.57 ,54%, $53.30 ,46%, $53.70 ,US,1 Year
Signamax,1106-4PRH,4-Pair 110 Impact Tool, $44.30 , $20.60 ,54%, $24.09 ,46%, $24.28 ,US,1 Year
Signamax,1106-4PRP,Category 6 4-Pair 110 Field, $4.70 , $2.19 ,54%, $2.56 ,46%, $2.58 ,US,1 Year
Signamax,1106-4PRT,4-Pair Term. Tool for 4-Pair, $129.00 , $59.99 ,54%, $70.16 ,46%, $70.69 ,US,1 Year
Signamax,110CB-4PR,Category 5e 4-Pair 110 IDC, $0.74 , $0.34 ,54%, $0.40 ,46%, $0.41 ,US,1 Year
Signamax,110CB-5PR,Category 5e 5-Pair 110 IDC, $1.00 , $0.47 ,54%, $0.54 ,46%, $0.55 ,US,1 Year
Signamax,110CB6-4PR,Category 6A/6 4-Pair 110 IDC, $1.44 , $0.67 ,54%, $0.78 ,46%, $0.79 ,US,1 Year
Signamax,110-CMT-L,Patch Cord and Cable Mgmt., $6.90 , $3.21 ,54%, $3.75 ,46%, $3.78 ,US,1 Year
Signamax,110-DS5P,Designation Label W/Holder For, $4.70 , $2.19 ,54%, $2.56 ,46%, $2.58 ,US,1 Year
Signamax,110WB-100PR,Cat 5e 100-Pair 110 Wiring, $12.30 , $5.72 ,54%, $6.69 ,46%, $6.74 ,US,1 Year
Signamax,110WB-100PR-L,Cat 5e 100-Pair 110 Wiring, $17.20 , $8.00 ,54%, $9.35 ,46%, $9.43 ,US,1 Year
Signamax,110WB-300PR,Cat 5e 300-Pair 110 Wiring, $33.70 , $15.67 ,54%, $18.33 ,46%, $18.47 ,US,1 Year
Signamax,110WB-300PR-L,Cat 5e 300-Pair 110 Wiring, $50.00 , $23.25 ,54%, $27.19 ,46%, $27.40 ,US,1 Year
Signamax,110WB-50PR,Cat 5e 50-Pair 110 Wiring, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,110WB-50PR-L,Cat 5e 50-Pair 110 Wiring, $8.60 , $4.00 ,54%, $4.68 ,46%, $4.71 ,US,1 Year
Signamax,110WB6-288PR,Category 6 288-Pair 110 Wiring, $39.00 , $18.14 ,54%, $21.21 ,46%, $21.37 ,US,1 Year
Signamax,110WB6-288PR-L,Category 6 288-Pair 110 Wiring, $38.00 , $17.67 ,54%, $20.67 ,46%, $20.82 ,US,1 Year
Signamax,110WB6-48PR,Category 6 48-Pair 110 Wiring, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,110WB6-48PR-L,Category 6 48-Pair 110 Wiring, $7.10 , $3.30 ,54%, $3.86 ,46%, $3.89 ,US,1 Year
Signamax,110WB6-96PR,Category 6 96-Pair 110 Wiring, $13.00 , $6.05 ,54%, $7.07 ,46%, $7.12 ,US,1 Year
Signamax,110WB6-96PR-L,Category 6 96-Pair 110 Wiring, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,110WB6A-192PR-L,CAT6A 192-pair 110 wiring, $78.00 , $36.27 ,54%, $42.42 ,46%, $42.74 ,US,1 Year
Signamax,110WB6A-32PR-L,CAT6A 32-pair 110 wiring, $13.40 , $6.23 ,54%, $7.29 ,46%, $7.34 ,US,1 Year
Signamax,110WB6A-64PR-L,CAT6A 64-pair 110 wiring, $26.80 , $12.46 ,54%, $14.58 ,46%, $14.69 ,US,1 Year
Signamax,12458JPL-C5E,12-Port Category 5e Jack Panel, $41.00 , $19.07 ,54%, $22.30 ,46%, $22.47 ,US,1 Year
Signamax,12458JPL-C6C,12-Port Category 6 Jack Panel, $57.00 , $26.51 ,54%, $31.00 ,46%, $31.23 ,US,1 Year
Signamax,12458M-C5E,12-Port Category 5e Mini Panel, $60.00 , $27.90 ,54%, $32.63 ,46%, $32.88 ,US,1 Year
Signamax,12458M-C6C,12-Port Category 6+ Mini Panel, $92.00 , $42.78 ,54%, $50.04 ,46%, $50.41 ,US,1 Year
Signamax,12458MD-C5E,12-Port Category 5e Patch, $70.00 , $32.55 ,54%, $38.07 ,46%, $38.36 ,US,1 Year
Signamax,12458MD-C6C,12-Port Category 6+ Patch, $98.00 , $45.57 ,54%, $53.30 ,46%, $53.70 ,US,1 Year
Signamax,24458EC-C5E,24-Port Category 5e EC-Series, $84.00 , $39.06 ,54%, $45.68 ,46%, $46.03 ,US,1 Year
Signamax,24458EC-C6,24-Port Category 6 EC-Series, $140.00 , $65.10 ,54%, $76.14 ,46%, $76.72 ,US,1 Year
Signamax,24458MD-C5E,24-Port Category 5e Patch, $98.00 , $45.57 ,54%, $53.30 ,46%, $53.70 ,US,1 Year
Signamax,24458MD-C5E-A-E,24-Port Category 5e Angled, $98.54 , $45.82 ,54%, $53.59 ,46%, $53.99 ,US,1 Year
Signamax,24458MD-C6AC,24-Port Category 6A MD-series, $230.00 , $106.95 ,54%, $125.09 ,46%, $126.03 ,US,1 Year
Signamax,24458MD-C6C,24-Port Category 6+ Patch, $154.00 , $71.61 ,54%, $83.75 ,46%, $84.39 ,US,1 Year
Signamax,24U-HDMMP,24-Port Unloaded High Density, $50.00 , $23.25 ,54%, $27.19 ,46%, $27.40 ,US,1 Year
Signamax,48458EC-C5E,48-Port Category 5e EC-Series, $160.00 , $74.40 ,54%, $87.02 ,46%, $87.68 ,US,1 Year
Signamax,48458EC-C6,48-Port Category 6 EC-Series, $270.00 , $125.55 ,54%, $146.84 ,46%, $147.95 ,US,1 Year
Signamax,48458MD-C5E,48-Port Category 5e Patch, $180.00 , $83.70 ,54%, $97.89 ,46%, $98.63 ,US,1 Year
Signamax,48458MD-C5E-A-E,48-Port Category 5e Angled, $194.72 , $90.55 ,54%, $105.90 ,46%, $106.70 ,US,1 Year
Signamax,48458MD-C6AC,48-Port Category 6A MD-series, $450.00 , $209.25 ,54%, $244.74 ,46%, $246.59 ,US,1 Year
Signamax,48458MD-C6C,48-Port Category 6+ Patch, $290.00 , $134.85 ,54%, $157.72 ,46%, $158.91 ,US,1 Year
Signamax,48U-HDMMP,48-Port Unloaded High Density, $70.00 , $32.55 ,54%, $38.07 ,46%, $38.36 ,US,1 Year
Signamax,48U-HDMMP-1R,48-Port Unloaded High Density, $50.00 , $23.25 ,54%, $27.19 ,46%, $27.40 ,US,1 Year
Signamax,6458JPL-C5E,"6-PORT CATEGORY 5E JACK PANEL,", $23.00 , $10.70 ,54%, $12.51 ,46%, $12.60 ,US,1 Year
Signamax,6458JPL-C6C,"6-PORT CATEGORY 6 JACK PANEL,", $32.00 , $14.88 ,54%, $17.40 ,46%, $17.54 ,US,1 Year
Signamax,72U-HDMMP,72-Port Unloaded High Density, $86.00 , $39.99 ,54%, $46.77 ,46%, $47.13 ,US,1 Year
Signamax,AFP003-K34,Plastic Fiber Cable Spool, $4.20 , $1.95 ,54%, $2.28 ,46%, $2.30 ,US,1 Year
Signamax,BCOF-4200476EEBSDWN,F.O. Cable SM 4 Fiber/1 Tube, $2.30 , $1.07 ,54%, $1.25 ,46%, $1.26 ,US,1 Year
Signamax,BCOF-4202476EEBSLWN,F.O. Cable SM 12 Fiber/2 Tube, $2.96 , $1.38 ,54%, $1.61 ,46%, $1.62 ,US,1 Year
Signamax,BFM1IBNR004,OF CABLE OM1 TB ISP OFNR, $1.50 , $0.70 ,54%, $0.82 ,46%, $0.82 ,US,1 Year
Signamax,BFM1IBNR006,OF CABLE OM1 TB ISP OFNR, $2.24 , $1.04 ,54%, $1.22 ,46%, $1.23 ,US,1 Year
Signamax,BFM1IBNR008,OF CABLE OM1 TB ISP OFNR, $2.72 , $1.26 ,54%, $1.48 ,46%, $1.49 ,US,1 Year
Signamax,BFM1IBNR012,OF CABLE OM1 TB ISP OFNR, $3.46 , $1.61 ,54%, $1.88 ,46%, $1.90 ,US,1 Year
Signamax,BFM1OT1J1A1004,OF CABLE OM1 OSP LT ARM, $3.94 , $1.83 ,54%, $2.14 ,46%, $2.16 ,US,1 Year
Signamax,BFM1OT1J1A1008,OF CABLE OM1 OSP LT ARM, $5.24 , $2.44 ,54%, $2.85 ,46%, $2.87 ,US,1 Year
Signamax,BFM1OT1J1A1012,OF CABLE OM1 OSP LT ARM, $6.10 , $2.84 ,54%, $3.32 ,46%, $3.34 ,US,1 Year
Signamax,BFM1UCBDNR,OF CABLE OM1 ISP/OSP IC DX, $0.94 , $0.44 ,54%, $0.51 ,46%, $0.52 ,US,1 Year
Signamax,BFM1UT1002,OF CABLE OM1 ISP/OSP LT, $1.50 , $0.70 ,54%, $0.82 ,46%, $0.82 ,US,1 Year
Signamax,BFM2IBNR004,OF CABLE OM2 TB ISP OFNR, $1.60 , $0.74 ,54%, $0.87 ,46%, $0.88 ,US,1 Year
Signamax,BFM2IBNR006,OF CABLE OM2 TB ISP OFNR, $1.78 , $0.83 ,54%, $0.97 ,46%, $0.98 ,US,1 Year
Signamax,BFM2IBNR008,OF CABLE OM2 TB ISP OFNR, $1.96 , $0.91 ,54%, $1.07 ,46%, $1.07 ,US,1 Year
Signamax,BFM2UCBDNR,OF CABLE OM2 ISP/OSP IC DX, $1.04 , $0.48 ,54%, $0.57 ,46%, $0.57 ,US,1 Year
Signamax,BFM2UT1002,OF CABLE OM2 ISP/OSP LT, $1.60 , $0.74 ,54%, $0.87 ,46%, $0.88 ,US,1 Year
Signamax,BFM3IBNR004,OF CABLE OM3 TB ISP OFNR, $1.96 , $0.91 ,54%, $1.07 ,46%, $1.07 ,US,1 Year
Signamax,BFM3IBNR006,OF CABLE OM3 TB ISP OFNR, $2.34 , $1.09 ,54%, $1.27 ,46%, $1.28 ,US,1 Year
Signamax,BFM3IBNR008,OF CABLE OM3 TB ISP OFNR, $3.00 , $1.40 ,54%, $1.63 ,46%, $1.64 ,US,1 Year
Signamax,BFM3IODL1N0004,OF CABLE DRY LT OM3, $1.60 , $0.74 ,54%, $0.87 ,46%, $0.88 ,US,1 Year
Signamax,BFM3IODL1N0006,OF CABLE DRY LT OM3, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,BFM3OT1J1A1004,OF CABLE OM3 OSP LT ARM, $4.22 , $1.96 ,54%, $2.30 ,46%, $2.31 ,US,1 Year
Signamax,BFM3OT1J1A1006,OF CABLE OM3 OSP LT ARM, $4.78 , $2.22 ,54%, $2.60 ,46%, $2.62 ,US,1 Year
Signamax,BFM3OT1J1A1012,OF CABLE OM3 OSP LT ARM, $6.18 , $2.87 ,54%, $3.36 ,46%, $3.39 ,US,1 Year
Signamax,BFM3UCBDNR,OF CABLE OM3 ISP/OSP IC DX, $1.04 , $0.48 ,54%, $0.57 ,46%, $0.57 ,US,1 Year
Signamax,BFM3UT1002,OF CABLE OM3 ISP/OSP LT, $1.68 , $0.78 ,54%, $0.91 ,46%, $0.92 ,US,1 Year
Signamax,BFP-19175,Blank Filler Panel, $13.60 , $6.32 ,54%, $7.40 ,46%, $7.45 ,US,1 Year
Signamax,BFP-19350,Blank Filler Panel, $17.20 , $8.00 ,54%, $9.35 ,46%, $9.43 ,US,1 Year
Signamax,BFP-19525,Blank Filler Panel, $31.60 , $14.69 ,54%, $17.19 ,46%, $17.32 ,US,1 Year
Signamax,BFSIBNR004,OF CABLE SM TB ISP OFNR, $1.32 , $0.61 ,54%, $0.72 ,46%, $0.72 ,US,1 Year
Signamax,BFSIBNR006,OF CABLE SM TB ISP OFNR, $1.50 , $0.70 ,54%, $0.82 ,46%, $0.82 ,US,1 Year
Signamax,BFSIBNR008,OF CABLE SM TB ISP OFNR, $1.88 , $0.87 ,54%, $1.02 ,46%, $1.03 ,US,1 Year
Signamax,BFSIBNR012,OF CABLE SM TB ISP OFNR, $2.34 , $1.09 ,54%, $1.27 ,46%, $1.28 ,US,1 Year
Signamax,BFSOT1J1A1004,OF CABLE SM OSP LT ARM, $3.18 , $1.48 ,54%, $1.73 ,46%, $1.74 ,US,1 Year
Signamax,BFSOT1J1A1006,OF CABLE SM OSP LT ARM, $3.38 , $1.57 ,54%, $1.84 ,46%, $1.85 ,US,1 Year
Signamax,BFSOT1J1A1008,OF CABLE SM OSP LT ARM, $3.56 , $1.66 ,54%, $1.94 ,46%, $1.95 ,US,1 Year
Signamax,BFSUCBDNR,OF CABLE SM ISP/OSP IC DX, $0.84 , $0.39 ,54%, $0.46 ,46%, $0.46 ,US,1 Year
Signamax,BFSUT1002,OF CABLE SM ISP/OSP LT, $1.22 , $0.57 ,54%, $0.66 ,46%, $0.67 ,US,1 Year
Signamax,C5E-4P-458B-GY-10FB,Category 5e Modular 110 4-Pair, $12.80 , $5.95 ,54%, $6.96 ,46%, $7.01 ,US,1 Year
Signamax,C5E-4P-458B-GY-14FB,Category 5e Modular 110 4-Pair, $6.30 , $2.93 ,54%, $3.43 ,46%, $3.45 ,US,1 Year
Signamax,C5E-4P-458B-GY-3FB,Category 5e Modular 110 4-Pair, $11.30 , $5.25 ,54%, $6.15 ,46%, $6.19 ,US,1 Year
Signamax,C5E-4P-458B-GY-7FB,Category 5e Modular 110 4-Pair, $12.10 , $5.63 ,54%, $6.58 ,46%, $6.63 ,US,1 Year
Signamax,C5E-4P-GY-10FB,Category 5e 4-Pair 110 Patch, $15.10 , $7.02 ,54%, $8.21 ,46%, $8.27 ,US,1 Year
Signamax,C5E-4P-GY-3FB,Category 5e 4-Pair 110 Patch, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C5E-4P-GY-7FB,Category 5e 4-Pair 110 Patch, $14.50 , $6.74 ,54%, $7.89 ,46%, $7.95 ,US,1 Year
Signamax,C6AS-314BK-10FB,Cat 6A F/UTP 26 AWG Black, $14.90 , $6.93 ,54%, $8.10 ,46%, $8.16 ,US,1 Year
Signamax,C6AS-314BK-20FB,Cat 6A F/UTP 26 AWG Black, $21.20 , $9.86 ,54%, $11.53 ,46%, $11.62 ,US,1 Year
Signamax,C6AS-314BK-25FB,Cat 6A F/UTP 26 AWG Black, $24.40 , $11.35 ,54%, $13.27 ,46%, $13.37 ,US,1 Year
Signamax,C6AS-314BK-3FB,Cat 6A F/UTP 26 AWG Black, $10.50 , $4.88 ,54%, $5.71 ,46%, $5.75 ,US,1 Year
Signamax,C6AS-314BK-5FB,Cat 6A F/UTP 26 AWG Black, $11.80 , $5.49 ,54%, $6.42 ,46%, $6.47 ,US,1 Year
Signamax,C6AS-314RD-15FB,Cat 6A F/UTP 26 AWG Red, $18.10 , $8.42 ,54%, $9.84 ,46%, $9.92 ,US,1 Year
Signamax,C6AS-314RD-20FB,Cat 6A F/UTP 26 AWG Red, $21.20 , $9.86 ,54%, $11.53 ,46%, $11.62 ,US,1 Year
Signamax,C6AS-314RD-25FB,Cat 6A F/UTP 26 AWG Red, $24.40 , $11.35 ,54%, $13.27 ,46%, $13.37 ,US,1 Year
Signamax,C6AS-314RD-7FB,Cat 6A F/UTP 26 AWG Red, $13.00 , $6.05 ,54%, $7.07 ,46%, $7.12 ,US,1 Year
Signamax,C6AS-314YE-10FB,Cat 6A F/UTP 26 AWG Yellow, $14.90 , $6.93 ,54%, $8.10 ,46%, $8.16 ,US,1 Year
Signamax,C6AS-314YE-15FB,Cat 6A F/UTP 26 AWG Yellow, $18.10 , $8.42 ,54%, $9.84 ,46%, $9.92 ,US,1 Year
Signamax,C6AS-314YE-20FB,Cat 6A F/UTP 26 AWG Yellow, $21.20 , $9.86 ,54%, $11.53 ,46%, $11.62 ,US,1 Year
Signamax,C6AS-314YE-25FB,Cat 6A F/UTP 26 AWG Yellow, $24.40 , $11.35 ,54%, $13.27 ,46%, $13.37 ,US,1 Year
Signamax,C6AS-314YE-3FB,Cat 6A F/UTP 26 AWG Yellow, $10.50 , $4.88 ,54%, $5.71 ,46%, $5.75 ,US,1 Year
Signamax,C6AS-328BK-10FB,Cat 6A F/UTP 28 AWG Black, $15.40 , $7.16 ,54%, $8.38 ,46%, $8.44 ,US,1 Year
Signamax,C6AS-328BK-15FB,Cat 6A F/UTP 28 AWG Black, $17.80 , $8.28 ,54%, $9.68 ,46%, $9.75 ,US,1 Year
Signamax,C6AS-328BK-20FB,Cat 6A F/UTP 28 AWG Black, $21.60 , $10.04 ,54%, $11.75 ,46%, $11.84 ,US,1 Year
Signamax,C6AS-328BK-25FB,Cat 6A F/UTP 28 AWG Black, $24.70 , $11.49 ,54%, $13.43 ,46%, $13.53 ,US,1 Year
Signamax,C6AS-328BK-3FB,Cat 6A F/UTP 28 AWG Black, $11.00 , $5.12 ,54%, $5.98 ,46%, $6.03 ,US,1 Year
Signamax,C6AS-328BK-5FB,Cat 6A F/UTP 28 AWG Black, $12.20 , $5.67 ,54%, $6.64 ,46%, $6.69 ,US,1 Year
Signamax,C6AS-328BK-7FB,Cat 6A F/UTP 28 AWG Black, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C6AS-328BU-10FB,Cat 6A F/UTP 28 AWG Blue, $15.40 , $7.16 ,54%, $8.38 ,46%, $8.44 ,US,1 Year
Signamax,C6AS-328BU-15FB,Cat 6A F/UTP 28 AWG Blue, $17.80 , $8.28 ,54%, $9.68 ,46%, $9.75 ,US,1 Year
Signamax,C6AS-328BU-20FB,Cat 6A F/UTP 28 AWG Blue, $21.60 , $10.04 ,54%, $11.75 ,46%, $11.84 ,US,1 Year
Signamax,C6AS-328BU-25FB,Cat 6A F/UTP 28 AWG Blue, $24.70 , $11.49 ,54%, $13.43 ,46%, $13.53 ,US,1 Year
Signamax,C6AS-328BU-3FB,Cat 6A F/UTP 28 AWG Blue, $11.00 , $5.12 ,54%, $5.98 ,46%, $6.03 ,US,1 Year
Signamax,C6AS-328BU-5FB,Cat 6A F/UTP 28 AWG Blue, $12.20 , $5.67 ,54%, $6.64 ,46%, $6.69 ,US,1 Year
Signamax,C6AS-328BU-7FB,Cat 6A F/UTP 28 AWG Blue, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C6AS-328GY-10FB,Cat 6A F/UTP 28 AWG Grey, $15.40 , $7.16 ,54%, $8.38 ,46%, $8.44 ,US,1 Year
Signamax,C6AS-328GY-15FB,Cat 6A F/UTP 28 AWG Grey, $17.80 , $8.28 ,54%, $9.68 ,46%, $9.75 ,US,1 Year
Signamax,C6AS-328GY-20FB,Cat 6A F/UTP 28 AWG Grey, $21.60 , $10.04 ,54%, $11.75 ,46%, $11.84 ,US,1 Year
Signamax,C6AS-328GY-25FB,Cat 6A F/UTP 28 AWG Grey, $24.70 , $11.49 ,54%, $13.43 ,46%, $13.53 ,US,1 Year
Signamax,C6AS-328GY-3FB,Cat 6A F/UTP 28 AWG Grey, $11.00 , $5.12 ,54%, $5.98 ,46%, $6.03 ,US,1 Year
Signamax,C6AS-328GY-5FB,Cat 6A F/UTP 28 AWG Grey, $12.20 , $5.67 ,54%, $6.64 ,46%, $6.69 ,US,1 Year
Signamax,C6AS-328GY-7FB,Cat 6A F/UTP 28 AWG Grey, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C6AS-328RD-10FB,Cat 6A F/UTP 28 AWG Red, $15.40 , $7.16 ,54%, $8.38 ,46%, $8.44 ,US,1 Year
Signamax,C6AS-328RD-15FB,Cat 6A F/UTP 28 AWG Red, $17.80 , $8.28 ,54%, $9.68 ,46%, $9.75 ,US,1 Year
Signamax,C6AS-328RD-20FB,Cat 6A F/UTP 28 AWG Red, $21.60 , $10.04 ,54%, $11.75 ,46%, $11.84 ,US,1 Year
Signamax,C6AS-328RD-25FB,Cat 6A F/UTP 28 AWG Red, $24.70 , $11.49 ,54%, $13.43 ,46%, $13.53 ,US,1 Year
Signamax,C6AS-328RD-3FB,Cat 6A F/UTP 28 AWG Red, $11.00 , $5.12 ,54%, $5.98 ,46%, $6.03 ,US,1 Year
Signamax,C6AS-328RD-5FB,Cat 6A F/UTP 28 AWG Red, $12.20 , $5.67 ,54%, $6.64 ,46%, $6.69 ,US,1 Year
Signamax,C6AS-328RD-7FB,Cat 6A F/UTP 28 AWG Red, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C6AS-328WH-10FB,Cat 6A F/UTP 28 AWG White, $15.40 , $7.16 ,54%, $8.38 ,46%, $8.44 ,US,1 Year
Signamax,C6AS-328WH-15FB,Cat 6A F/UTP 28 AWG White, $17.80 , $8.28 ,54%, $9.68 ,46%, $9.75 ,US,1 Year
Signamax,C6AS-328WH-20FB,Cat 6A F/UTP 28 AWG White, $21.60 , $10.04 ,54%, $11.75 ,46%, $11.84 ,US,1 Year
Signamax,C6AS-328WH-25FB,Cat 6A F/UTP 28 AWG White, $24.70 , $11.49 ,54%, $13.43 ,46%, $13.53 ,US,1 Year
Signamax,C6AS-328WH-3FB,Cat 6A F/UTP 28 AWG White, $11.00 , $5.12 ,54%, $5.98 ,46%, $6.03 ,US,1 Year
Signamax,C6AS-328WH-5FB,Cat 6A F/UTP 28 AWG White, $12.20 , $5.67 ,54%, $6.64 ,46%, $6.69 ,US,1 Year
Signamax,C6AS-328WH-7FB,Cat 6A F/UTP 28 AWG White, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C6AS-328YE-10FB,Cat 6A F/UTP 28 AWG Yellow, $15.40 , $7.16 ,54%, $8.38 ,46%, $8.44 ,US,1 Year
Signamax,C6AS-328YE-15FB,Cat 6A F/UTP 28 AWG Yellow, $17.80 , $8.28 ,54%, $9.68 ,46%, $9.75 ,US,1 Year
Signamax,C6AS-328YE-20FB,Cat 6A F/UTP 28 AWG Yellow, $21.60 , $10.04 ,54%, $11.75 ,46%, $11.84 ,US,1 Year
Signamax,C6AS-328YE-25FB,Cat 6A F/UTP 28 AWG Yellow, $24.70 , $11.49 ,54%, $13.43 ,46%, $13.53 ,US,1 Year
Signamax,C6AS-328YE-3FB,Cat 6A F/UTP 28 AWG Yellow, $11.00 , $5.12 ,54%, $5.98 ,46%, $6.03 ,US,1 Year
Signamax,C6AS-328YE-5FB,Cat 6A F/UTP 28 AWG Yellow, $12.20 , $5.67 ,54%, $6.64 ,46%, $6.69 ,US,1 Year
Signamax,C6AS-328YE-7FB,Cat 6A F/UTP 28 AWG Yellow, $13.50 , $6.28 ,54%, $7.34 ,46%, $7.40 ,US,1 Year
Signamax,C6C-128BK-10FB,Cat 6 U/UTP 28 AWG Black, $9.80 , $4.56 ,54%, $5.33 ,46%, $5.37 ,US,1 Year
Signamax,C6C-128BK-10FB,Cat 6 U/UTP 28 AWG Black, $9.80 , $4.56 ,54%, $5.33 ,46%, $5.37 ,US,1 Year
Signamax,C6C-128BK-15FB,Cat 6 U/UTP 28 AWG Black, $11.20 , $5.21 ,54%, $6.09 ,46%, $6.14 ,US,1 Year
Signamax,C6C-128BK-20FB,Cat 6 U/UTP 28 AWG Black, $13.20 , $6.14 ,54%, $7.18 ,46%, $7.23 ,US,1 Year
Signamax,C6C-128BK-25FB,Cat 6 U/UTP 28 AWG Black, $14.90 , $6.93 ,54%, $8.10 ,46%, $8.16 ,US,1 Year
Signamax,C6C-128BK-3FB,Cat 6 U/UTP 28 AWG Black, $7.40 , $3.44 ,54%, $4.02 ,46%, $4.05 ,US,1 Year
Signamax,C6C-128BK-5FB,Cat 6 U/UTP 28 AWG Black, $8.10 , $3.77 ,54%, $4.41 ,46%, $4.44 ,US,1 Year
Signamax,C6C-128BK-7FB,Cat 6 U/UTP 28 AWG Black, $8.80 , $4.09 ,54%, $4.79 ,46%, $4.82 ,US,1 Year
Signamax,C6C-128BU-10FB,Cat 6 U/UTP 28 AWG Blue, $9.80 , $4.56 ,54%, $5.33 ,46%, $5.37 ,US,1 Year
