Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list,Proposed GSA Price (w/o IFF Fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,065-1050GSX,10/100/1000 to 1000BaseSX PSE, $850.00 , $395.25 ,54%, $465.00 ,45%, $468.51 ,Made in Taiwan,1 Year
Signamax,065-1050GSXLC,10/100/1000 to 1000BaseSX PSE, $900.00 , $418.50 ,54%, $492.35 ,45%, $496.07 ,Made in Taiwan,1 Year
Signamax,065-1050SC,10/100BaseT/TX to100BaseFX PSE, $530.00 , $246.45 ,54%, $289.94 ,45%, $292.13 ,Made in Taiwan,1 Year
Signamax,065-1050SM,10/100BaseT/TX to100BaseFX PSE, $730.00 , $339.45 ,54%, $399.35 ,45%, $402.37 ,Made in Taiwan,1 Year
Signamax,065-1050SMED,10/100BaseT/TX to100BaseFX PSE, $840.00 , $390.60 ,54%, $459.53 ,45%, $463.00 ,Made in Taiwan,1 Year
Signamax,065-1050SMXLD,10/100BaseT/TX to100BaseFX PSE, $970.00 , $451.05 ,54%, $530.65 ,45%, $534.66 ,Made in Taiwan,1 Year
Signamax,065-1050ST,10/100BaseT/TX to100BaseFX PSE, $530.00 , $246.45 ,54%, $289.94 ,45%, $292.13 ,Made in Taiwan,1 Year
Signamax,065-1052SC,10/100BaseT/TX to 100BaseFX PD, $250.00 , $116.25 ,54%, $136.76 ,45%, $137.80 ,Made in Taiwan,1 Year
Signamax,065-1052SM,10/100BaseT/TX to 100BaseFX PD, $590.00 , $274.35 ,54%, $322.76 ,45%, $325.20 ,Made in Taiwan,1 Year
Signamax,065-1052SMED,10/100BaseT/TX to 100BaseFX PD, $700.00 , $325.50 ,54%, $382.94 ,45%, $385.83 ,Made in Taiwan,1 Year
Signamax,065-1052SMXLD,10/100BaseT/TX to 100BaseFX PD, $790.00 , $367.35 ,54%, $432.18 ,45%, $435.44 ,Made in Taiwan,1 Year
Signamax,065-1052ST,10/100BaseT/TX to 100BaseFX PD, $440.00 , $204.60 ,54%, $240.71 ,45%, $242.52 ,Made in Taiwan,1 Year
Signamax,065-1060LC,PCI card-based 10/100BaseT/TX, $350.00 , $162.75 ,54%, $191.47 ,45%, $192.92 ,Made in Taiwan,1 Year
Signamax,065-1060SC,PCI card-based 10/100BaseT/TX, $170.00 , $79.05 ,54%, $93.00 ,45%, $93.70 ,Made in Taiwan,1 Year
Signamax,065-1060SM,PCI card-based 10/100BaseT/TX, $380.00 , $176.70 ,54%, $207.88 ,45%, $209.45 ,Made in Taiwan,1 Year
Signamax,065-1060SMED,PCI card-based 10/100BaseT/TX, $560.00 , $260.40 ,54%, $306.35 ,45%, $308.67 ,Made in Taiwan,1 Year
Signamax,065-1060SMXLD,PCI card-based 10/100BaseT/TX," $1,060.00 ", $492.90 ,54%, $579.88 ,45%, $584.26 ,Made in Taiwan,1 Year
Signamax,065-1060ST,PCI card-based 10/100BaseT/TX, $170.00 , $79.05 ,54%, $93.00 ,45%, $93.70 ,Made in Taiwan,1 Year
Signamax,065-1062AFSC,Serial to Fiber Media, $420.00 , $195.30 ,54%, $229.76 ,45%, $231.50 ,Made in Taiwan,1 Year
Signamax,065-1062AFSM,Serial to Fiber Media, $460.00 , $213.90 ,54%, $251.65 ,45%, $253.55 ,Made in Taiwan,1 Year
Signamax,065-1063ASFP,RS232/422/485 Ser to 100Base, $380.00 , $176.70 ,54%, $207.88 ,45%, $209.45 ,Made in Taiwan,1 Year
Signamax,065-1063AT,RS232/422/485 Serial to 10/100, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1063HFSM,Dev Svr-Med Cnv RS-232/422/485," $1,400.00 ", $651.00 ,54%, $765.88 ,45%, $771.67 ,Made in Taiwan,1 Year
Signamax,065-1063HFSMST,Dev Svr-Med Cnv RS-232/422/485," $1,400.00 ", $651.00 ,54%, $765.88 ,45%, $771.67 ,Made in Taiwan,1 Year
Signamax,065-1100,10/100BaseT/TX to 100BaseFX, $150.00 , $69.75 ,54%, $82.06 ,45%, $82.68 ,Made in Taiwan,1 Year
Signamax,065-1100E,10/100BaseT/TX to 100BaseFX, $198.00 , $92.07 ,54%, $108.32 ,45%, $109.14 ,Made in Taiwan,1 Year
Signamax,065-1100LFS,10/100BaseT/TX to 100BaseFX, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1100LFSUK,10/100BaseT/TX to 100BaseFX, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1100NS,100BaseTX to 100BaseFX, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1100NSI-UK,100BaseTX to 100BaseFX convrtr, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1110,10/100BaseT/TX to 100BaseFX, $150.00 , $69.75 ,54%, $82.06 ,45%, $82.68 ,Made in Taiwan,1 Year
Signamax,065-1110E,10/100BaseT/TX to 100BaseFX, $198.00 , $92.07 ,54%, $108.32 ,45%, $109.14 ,Made in Taiwan,1 Year
Signamax,065-1110LFS,10/100BaseT/TX to 100BaseFX, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1110LFSUK,10/100BaseT/TX to 100BaseFX, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1110NS,100BaseTX to 100BaseFX, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1110NSI-UK,100BaseTX to 100BaseFX convrtr, $204.00 , $94.86 ,54%, $111.60 ,45%, $112.44 ,Made in Taiwan,1 Year
Signamax,065-1120,10/100BaseT/TX to 100BaseFX, $380.00 , $176.70 ,54%, $207.88 ,45%, $209.45 ,Made in Taiwan,1 Year
Signamax,065-1120E,10/100BaseT/TX to 100BaseFX, $460.00 , $213.90 ,54%, $251.65 ,45%, $253.55 ,Made in Taiwan,1 Year
Signamax,065-1120ED,10/100BaseT/TX to 100BaseFX, $630.00 , $292.95 ,54%, $344.65 ,45%, $347.25 ,Made in Taiwan,1 Year
Signamax,065-1120EDLFS,10/100BaseT/TX to 100BaseFX, $700.00 , $325.50 ,54%, $382.94 ,45%, $385.83 ,Made in Taiwan,1 Year
Signamax,065-1120EDLFSUK,10/100BaseT/TX to 100BaseFX, $700.00 , $325.50 ,54%, $382.94 ,45%, $385.83 ,Made in Taiwan,1 Year
Signamax,065-1120EXLD,10/100BaseT/TX to 100BaseFX," $1,540.00 ", $716.10 ,54%, $842.47 ,45%, $848.84 ,Made in Taiwan,1 Year
Signamax,065-1120EXLDI,10/100BaseT/TX to 100BaseFX," $1,540.00 ", $716.10 ,54%, $842.47 ,45%, $848.84 ,Made in Taiwan,1 Year
Signamax,065-1120LFS,10/100BaseT/TX to 100BaseFX, $550.00 , $255.75 ,54%, $300.88 ,45%, $303.16 ,Made in Taiwan,1 Year
Signamax,065-1120LFSUK,10/100BaseT/TX to 100BaseFX, $550.00 , $255.75 ,54%, $300.88 ,45%, $303.16 ,Made in Taiwan,1 Year
Signamax,065-1120NS,100BaseTX to 100BaseFX, $498.00 , $231.57 ,54%, $272.44 ,45%, $274.49 ,Made in Taiwan,1 Year
Signamax,065-1120XLD,10/100BaseT/TX to 100BaseFX," $1,170.00 ", $544.05 ,54%, $640.06 ,45%, $644.90 ,Made in Taiwan,1 Year
Signamax,065-1120XLDLFS,10/100BaseT/TX to 100BaseFX," $1,250.00 ", $581.25 ,54%, $683.82 ,45%, $688.99 ,Made in Taiwan,1 Year
Signamax,065-1120XLDLFSUK,10/100BaseT/TX to 100BaseFX," $1,250.00 ", $581.25 ,54%, $683.82 ,45%, $688.99 ,Made in Taiwan,1 Year
Signamax,065-1130,"100BaseFX Singlemode/SC, 15 km", $698.00 , $324.57 ,54%, $381.85 ,45%, $384.73 ,Made in Taiwan,1 Year
Signamax,065-1130XLD,"100BaseFX Singlemode/SC, 75 km"," $1,298.00 ", $603.57 ,54%, $710.08 ,45%, $715.45 ,Made in Taiwan,1 Year
Signamax,065-1132,"100BaseFX Singlemode/SC, 15 km", $698.00 , $324.57 ,54%, $381.85 ,45%, $384.73 ,Made in Taiwan,1 Year
Signamax,065-1132XLD,"100BaseFX Singlemode/SC, 75 km"," $1,298.00 ", $603.57 ,54%, $710.08 ,45%, $715.45 ,Made in Taiwan,1 Year
Signamax,065-1167,10/100TX Ethernet Extender, $700.00 , $325.50 ,54%, $382.94 ,45%, $385.83 ,Made in Taiwan,1 Year
Signamax,065-1167DIN,10/100TX Ethernet Extender, $750.00 , $348.75 ,54%, $410.29 ,45%, $413.39 ,Made in Taiwan,1 Year
Signamax,065-1167I,10/100TX Ethernet Extender, $700.00 , $325.50 ,54%, $382.94 ,45%, $385.83 ,Made in Taiwan,1 Year
Signamax,065-1172,10/100BaseT/TX to 100BaseFX, $260.00 , $120.90 ,54%, $142.24 ,45%, $143.31 ,Made in Taiwan,1 Year
Signamax,065-1172LFSUK,10/100BaseT/TX to 100BaseFX, $320.00 , $148.80 ,54%, $175.06 ,45%, $176.38 ,Made in Taiwan,1 Year
Signamax,065-1174,10/100BaseT/TX to 100BaseFX, $260.00 , $120.90 ,54%, $142.24 ,45%, $143.31 ,Made in Taiwan,1 Year
Signamax,065-1174LFS,10/100BaseT/TX to 100BaseFX, $320.00 , $148.80 ,54%, $175.06 ,45%, $176.38 ,Made in Taiwan,1 Year
